target,id,date,flag,user,text,sentiment
4,1981836817,Sun May 31 09:59:40 PDT 2009,NO_QUERY,KatieBThatsMe,@christineoh haha i approve your listening choice. tell those boys i said yo and to behave ,1
4,1961810130,Fri May 29 10:04:41 PDT 2009,NO_QUERY,Meganclarehaber,"had a nice day in hull, i have a bit of sunburn on my face again, is loving this new shirt  i feel so summery! Enter Shikari Album (L)",1
4,1982483822,Sun May 31 11:18:01 PDT 2009,NO_QUERY,mechphisto,Time to get some breakfast.  Celito Lindos and allergy medicine.,1
0,1995358234,Mon Jun 01 13:21:45 PDT 2009,NO_QUERY,kennahkinns,@coreyeichen ill miss deputy don ,-1
0,2206229718,Wed Jun 17 06:12:57 PDT 2009,NO_QUERY,TreeDiva,"Watering in front stopped when I washed out an ant colony in front garden. Swarmed &amp; bitten. All over shoe, sox, garden hose. ",-1
0,2176018042,Mon Jun 15 02:40:26 PDT 2009,NO_QUERY,Demi_Lition,I have a very burnt face ,-1
0,2204277389,Wed Jun 17 01:47:38 PDT 2009,NO_QUERY,RECord5, i was woken up at 4 30. Time to get ready and go to hospital,-1
4,1962021545,Fri May 29 10:24:06 PDT 2009,NO_QUERY,fuseboxradio,Thanks for checking us out here at the FuseBox Radio @epiphanygirl (#FF &amp; cope that album from her if you haven't yet) - much love! ,1
4,1825283349,Sun May 17 05:06:35 PDT 2009,NO_QUERY,KelsieMaree,athletics tomorrow  whose going ,1
4,1998593962,Mon Jun 01 18:48:32 PDT 2009,NO_QUERY,zyozyfounder,explaining Burning Man to my son William (12). he's watching the 'Malcolm in the middle - Burning Man' episode ,1
4,1753176320,Sun May 10 00:26:42 PDT 2009,NO_QUERY,The_Town_Witch,Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway ,1
4,2177146089,Mon Jun 15 05:32:39 PDT 2009,NO_QUERY,CrZy4Him,"4 those of u who were worried @ the living creature I coughed up, I set it free.... In the toilet.  ",1
4,1565197171,Mon Apr 20 06:09:26 PDT 2009,NO_QUERY,LilyDeLonge182,&amp; now Im off skools  Then go 2 the mall &amp; buy myself those ear rings. Heck yes! Love u guys! B safe &amp; Happy 4/20 every1! Lol -Lily ,1
0,2201389353,Tue Jun 16 20:12:24 PDT 2009,NO_QUERY,doolamcfly,@burnabiz awwwww  I woulda been your myspace stalker&lt;3 'cause I just started going back on it!,-1
0,2251122559,Sat Jun 20 02:30:20 PDT 2009,NO_QUERY,iamdecal,"Also, eyebrow trim disaster  supprisingly difficult to get both the same, but learnt it's important to stop trying early in process.",-1
4,2174922308,Sun Jun 14 23:38:20 PDT 2009,NO_QUERY,Extremo,"Dear those people, yep kids don't have 'inside' voices ",1
0,1964824564,Fri May 29 14:52:05 PDT 2009,NO_QUERY,rockrollfantasy,@davewarwak I`d love to have a copty of &quot;Peep Show...&quot; I have Eilleen`s but I do have to give it back  Please help me out I miss you on FB,-1
4,2188987929,Mon Jun 15 22:59:52 PDT 2009,NO_QUERY,angeetm,doing criminal justice statistics with julia ,1
4,1468006095,Mon Apr 06 23:13:24 PDT 2009,NO_QUERY,nicktengler,I got sunburn today haha. i was outside the wholeee day SKATINGGG ,1
4,1974594566,Sat May 30 13:27:15 PDT 2009,NO_QUERY,torapoole,"Managed to get burnt today, even with sunscreen on. Good day though ",1
0,2056753057,Sat Jun 06 11:43:44 PDT 2009,NO_QUERY,IFightDragons,"@BadgerNoble oh no, I didn't realize it was US-centric   I did hear they're having a lot of legal issues so that's probably why ",-1
4,1833555554,Sun May 17 23:40:06 PDT 2009,NO_QUERY,PositivusLiiga,"Moby nupst Losandï¿½elos? piedz?vojis pirmo zemestr?ci sav? m?ï¿½?: &quot;At first I thought it was the subway. But no, a ye olde earthquake.&quot; ",1
4,2014989081,Wed Jun 03 03:20:59 PDT 2009,NO_QUERY,EmmaRhoyds,@BigAssBadger Yay indeed. I don't care if every other Sister drops dead I am NOT working tonight!! ,1
4,1834883450,Mon May 18 04:30:24 PDT 2009,NO_QUERY,CostaDoukas,@pet2107 @Wytchfire You guys are funny ,1
4,1982151461,Sun May 31 10:37:51 PDT 2009,NO_QUERY,DMJoe,"@nathantwright those vanity urls users will have to pay, wrote about it month ago  can't wait",1
4,1468117442,Mon Apr 06 23:48:34 PDT 2009,NO_QUERY,mattcorr,Totally in awe of Firebug for Firefox. Wow.. now that is a cool tool ,1
0,2250611537,Sat Jun 20 01:00:00 PDT 2009,NO_QUERY,darrenwtnb,"I'm at work, I'm tired, my burnt foot hurts and I don't want to be here ",-1
4,1753030009,Sat May 09 23:51:46 PDT 2009,NO_QUERY,SherletaG,@DanInBarca mmMmMm I've been craving sweet potatoes and almonds I'm going to have to incorporate those super foods tomorrow ,1
0,2233191199,Thu Jun 18 20:57:58 PDT 2009,NO_QUERY,lolita3176,good night fam. had a blast today but I'm kinda burnt  but the kids LOVED IT!! so it's so worth it!! well maybe I''ll c sprmn 2morrow bye!,-1
0,2013524108,Tue Jun 02 22:53:21 PDT 2009,NO_QUERY,ChelseaWelseaaa,@TimBPearson haha forreal itd be likee i lost one of my best friends ,-1
0,2056255523,Sat Jun 06 10:48:41 PDT 2009,NO_QUERY,thakkar,@thecomicproject  and they make pathetic websites too   crushes my heart..  The largest set of  Phantom and Mandrake in publication  ..,-1
0,2326894980,Thu Jun 25 07:39:09 PDT 2009,NO_QUERY,RayS,In the waiting room at Oakville hospital; this place feels like a second home to me now  http://bit.ly/1JRsHZ,-1
4,2000546121,Mon Jun 01 22:21:41 PDT 2009,NO_QUERY,BULLETINABARBIE,@tommcfly Do you just google yourself now or have you got those photos on your computer? ,1
4,2175026366,Sun Jun 14 23:54:14 PDT 2009,NO_QUERY,sdreinhart1975,@dayfornight You mean a man who cheats on his wife habitually and is a complete hypocrite... they have plenty of those already. ,1
4,1753452188,Sun May 10 01:42:28 PDT 2009,NO_QUERY,brianjshoopman,@catsinthetree Listened to Eyes on Fire and enjoyed it.  Thanks ,1
0,2246495007,Fri Jun 19 17:40:55 PDT 2009,NO_QUERY,AffiliateStuff,"Bloody rain!  Oh well, a thrilling few hours checking out medical insurance policies instead of getting out into the fresh air ",-1
0,2256502954,Sat Jun 20 12:52:24 PDT 2009,NO_QUERY,bryytard,15 fire trucks driving north on the 5 ,-1
4,1993190220,Mon Jun 01 09:58:44 PDT 2009,NO_QUERY,SweetSeda,"@monitron it's another one of those austin only things. amy's ice cream. Not just guinness flavor, contains alcohol. ",1
0,2205991610,Wed Jun 17 05:49:05 PDT 2009,NO_QUERY,kmpirish,burnt my pop tarts  I didn't bring any other breakfast to work this morning.  And I have no cash so the cafeteria is out.,-1
0,2264165781,Sun Jun 21 03:00:01 PDT 2009,NO_QUERY,kellyrose,@miSource have tried homebirth.ie - no one got back to me   have got more irons in other fires - it'll all work out - always does!,-1
4,1998207558,Mon Jun 01 18:10:14 PDT 2009,NO_QUERY,queenlisa1,"okayi changed my bf's myspace song to  We came as romans - Dreams  i like that song , he choses [sp?]  are awesome ",1
4,1880352524,Fri May 22 00:56:28 PDT 2009,NO_QUERY,faustinawhattt,good things happen to those who wait. - soï¿½iï¿½m waiting. good things coming up aheadï¿½bring it.  iï¿½m excited!... http://tumblr.com/xlt1ub13n,1
0,2230337520,Thu Jun 18 16:58:27 PDT 2009,NO_QUERY,ummm_Stacy,yay for my breaks smoking like they're on fire!!! guess I am without my beloved subaru for a day or 2 - have to drive a pt cruiser - yuk ,-1
0,1985105425,Sun May 31 16:26:31 PDT 2009,NO_QUERY,Deegee_Cakes,Omg I cleaned this house from top to bottom with bleach! My nose is burning everytime I inhale I still smell the bleach.. ,-1
0,2176478745,Mon Jun 15 03:59:17 PDT 2009,NO_QUERY,ben_small,@romeothepirate &quot;This video is not available in your country due to copyright restrictions.&quot;  ,-1
4,2064099317,Sun Jun 07 05:13:12 PDT 2009,NO_QUERY,halzzxo72,just signed the miley cyrus petition  i love helping those people out &lt;3,1
4,1573492468,Tue Apr 21 01:25:42 PDT 2009,NO_QUERY,mymemoirs,@tinja69 yeah sure  I need to use a double pass ticket as well to Mall Cop. You can watch 17 Again if you want.,1
0,2197848325,Tue Jun 16 15:16:09 PDT 2009,NO_QUERY,LeeConti,Brooke Kinsella in excellent knife crime documentary on BBC One. Her little brother Ben died a year ago ,-1
0,2057436814,Sat Jun 06 13:00:14 PDT 2009,NO_QUERY,damarisens,@AhmNoHere lol hahaha I'm starting to get bored about all the medical shows around there! hahah ,-1
4,1932871858,Tue May 26 22:25:09 PDT 2009,NO_QUERY,LovinBenjamin,I'm on fire tonight  buahaha,1
